gene,mean_expr_AKI,mean_expr_reference,diff_mean_expr,pct_expr_AKI,pct_expr_reference,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
NDUFA8,0.4236435750177904,,,0.31567637799210435,,,,,0.0002406328093707,,UP_in_reference
NDUFAB1,0.7962000399009344,,,0.5014242166808256,,,,,0.0003144307479065,,UP_in_reference
NDUFAF3,0.6712760036198054,,,0.4474039278396882,,,,,0.0002526973825145,,UP_in_reference
NDUFAF8,0.42938323217072905,,,0.3164259657188546,,,,,0.0001463950440828,,UP_in_reference
NDUFB1,1.1376395604646257,,,0.6180100944480535,,,,,0.0005769444685757,,UP_in_reference
NDUFB10,1.1097026231768359,,,0.6178601769027036,,,,,0.0002524949941308,,UP_in_reference
NDUFB11,1.1908868161829205,,,0.6542401679076508,,,,,0.000282952078845,,UP_in_reference
NDUFB2,1.6830477547436855,,,0.7604817350457248,,,,,0.0004686963773676,,UP_in_reference
NDUFB3,0.9591264570163819,,,0.5580930488231473,,,,,0.0002666270374953,,UP_in_reference
NDUFB4,1.0480288171884395,,,0.5959222427664784,,,,,0.0003761617486395,,UP_in_reference
NDUFB5,0.8073225655265275,,,0.5021738044075759,,,,,0.0002197169721438,,UP_in_reference
NDUFB6,0.4500701255068865,,,0.3334665933736445,,,,,0.0002384898551403,,UP_in_reference
NDUFB7,1.2956739514324824,,,0.6770776073159762,,,,,0.0003100085984073,,UP_in_reference
NDUFB8,0.8967945192923682,,,0.5231122882414672,,,,,0.0003947317546141,,UP_in_reference
NDUFB9,0.895098739471897,,,0.5270101444205687,,,,,0.0003288040850226,,UP_in_reference
NDUFC1,1.1470092685722744,,,0.609664684423567,,,,,0.0004429538474666,,UP_in_reference
NDUFC2,1.1315120706443407,,,0.6199590225376043,,,,,0.0004107357133297,,UP_in_reference
NDUFS1,0.25776525658353067,,,0.20893508570286343,,,,,0.0001258776305691,,UP_in_reference
NDUFS2,0.5259567673800462,,,0.3777922142821448,,,,,0.0001711133784879,,UP_in_reference
NDUFS3,0.5215514950778548,,,0.37389435810304333,,,,,0.0001833280542874,,UP_in_reference
NDUFS4,0.40221383018824525,,,0.30888011593623504,,,,,0.0002545108987281,,UP_in_reference
NDUFS5,1.4260237033823648,,,0.7042126830243366,,,,,0.0004049582379268,,UP_in_reference
NDUFS6,1.1178895254612011,,,0.6256558892609065,,,,,0.0002715487213025,,UP_in_reference
NDUFS7,0.8478690346786117,,,0.5233621508170506,,,,,0.0002082345722551,,UP_in_reference
NDUFS8,0.9609420215392693,,,0.5571435710359303,,,,,0.0002461755627407,,UP_in_reference
NDUFV1,0.6156896671637415,,,0.4173204737394433,,,,,0.0001970010892188,,UP_in_reference
NDUFV2,0.8925069637855979,,,0.5420518714706911,,,,,0.0002904738270741,,UP_in_reference
NDUFV3,0.41862340834615014,,,0.31717555344560494,,,,,0.0001567590410413,,UP_in_reference
NEAT1,1.2363789599794426,,,0.579931037929139,,,,,0.0004020347006262,,UP_in_reference
NEDD4L,0.24595384918015206,,,0.20008995052721004,,,,,0.0001861301244261,,UP_in_reference
NEDD8,1.1766090250205983,,,0.6518414871820499,,,,,0.0003185285558608,,UP_in_reference
NELFE,0.22512098308135084,,,0.1935435510469242,,,,,9.85118608735338e-05,,UP_in_reference
NENF,0.7472584072943969,,,0.47848683224226674,,,,,0.0002052000752219,,UP_in_reference
NEU1,0.29145020218373413,,,0.2333216730798061,,,,,0.0001114983117363,,UP_in_reference
NFAT5,0.29793632181131396,,,0.21753035830293338,,,,,0.0001938199952312,,UP_in_reference
NFE2L1,0.3063322460026186,,,0.24441557143571035,,,,,0.0001255249680002,,UP_in_reference
NFE2L2,0.5447898387833592,,,0.3743940832542102,,,,,0.0002817475173959,,UP_in_reference
NFIA,0.26050594379815417,,,0.19154465044225677,,,,,0.0001892702954446,,UP_in_reference
NFIB,0.29887941410865804,,,0.22112837939133476,,,,,0.0001315902582632,,UP_in_reference
NFIC,0.28919072155285364,,,0.2316226075658388,,,,,0.0001449184246968,,UP_in_reference
NFKBIA,0.4487297467091928,,,0.29014042276747787,,,,,0.0031134668648846,,UP_in_reference
NHP2,0.5422482697754852,,,0.3809904552496127,,,,,0.0001505274163241,,UP_in_reference
NINJ1,0.34858250873630686,,,0.26910199390335315,,,,,0.0001187657732057,,UP_in_reference
NIPBL,0.23315657672118262,,,0.18509819599220428,,,,,0.0001171331262576,,UP_in_reference
NIPSNAP2,0.2889384792011724,,,0.23217230523212234,,,,,0.0001010485045047,,UP_in_reference
NIT2,0.40980878547769106,,,0.2897906151616611,,,,,0.0001451743102582,,UP_in_reference
NKG7,0.3503265883287196,,,0.10174404077757233,,,,,0.0002410482679487,,UP_in_reference
NKTR,0.3323046647163417,,,0.24261656089150968,,,,,0.0001589973828662,,UP_in_reference
NME1,0.441110679183856,,,0.3254709909549748,,,,,0.000148192814166,,UP_in_reference
NME2,0.11743273906066733,,,0.08535305581929939,,,,,0.0055708967882956,,UP_in_reference
NME3,0.7443952876726788,,,0.48403378142021886,,,,,0.0002506891800016,,UP_in_reference
NME4,0.3313159666072843,,,0.2623557043626006,,,,,0.0001150557816987,,UP_in_reference
NMT1,0.23871030833300771,,,0.19339363350157412,,,,,0.0001160155228448,,UP_in_reference
NNMT,0.3322027680555634,,,0.15951226825246115,,,,,0.0002004580993189,,UP_in_reference
NNT,0.22377767742301916,,,0.18654739893058817,,,,,0.0001164804530199,,UP_in_reference
NOL7,0.38550365824467603,,,0.29598720703613013,,,,,0.0001717297697927,,UP_in_reference
NONO,0.35383404819388,,,0.28009594722902403,,,,,0.0001429185481602,,UP_in_reference
NOP10,0.8842229531750778,,,0.5451001948928089,,,,,0.0002614302246338,,UP_in_reference
NOP53,0.6568951960609998,,,0.4294138223976813,,,,,0.0003145027767452,,UP_in_reference
NORAD,0.4301352622948083,,,0.30793063814901805,,,,,0.0001764408295258,,UP_in_reference
NOSIP,0.3024415984035256,,,0.24131727549847584,,,,,0.0001278423118578,,UP_in_reference
NPC2,0.931199229895559,,,0.5290090450252362,,,,,0.0003622280119721,,UP_in_reference
NPDC1,0.23228536936716823,,,0.15376542901404228,,,,,0.0001558181443785,,UP_in_reference
NPEPPS,0.2760573238445499,,,0.2203787916645845,,,,,0.0001164022872441,,UP_in_reference
NPM1,1.4363677801918588,,,0.7159062515616411,,,,,0.0003828977122032,,UP_in_reference
NPTN,0.36850203589924835,,,0.2858927589825596,,,,,0.0001550757202971,,UP_in_reference
NQO2,0.3141091129481177,,,0.2309229923542052,,,,,0.0001873276831609,,UP_in_reference
NR2F2,0.41082305822196574,,,0.28739193443606015,,,,,0.0002420159835817,,UP_in_reference
NR2F6,0.20768835707737782,,,0.17810204387586828,,,,,8.964836694590885e-05,,UP_in_reference
NR3C1,0.19847114812311856,,,0.1466193593523562,,,,,0.0001418473269263,,UP_in_reference
NR4A1,0.09899552979084968,,,0.06596371995402528,,,,,0.0112382081954599,,UP_in_reference
NRIP1,0.19417056380781833,,,0.1583129278896607,,,,,9.873160932179124e-05,,UP_in_reference
NRP1,0.2712448219094053,,,0.1967417920143921,,,,,0.0001544997873802,,UP_in_reference
NSA2,0.6639475307537613,,,0.44040777572335216,,,,,0.0002193769211394,,UP_in_reference
NSD1,0.23660432645686183,,,0.18604767377942133,,,,,0.0001034291808774,,UP_in_reference
NSD3,0.24232197078621479,,,0.19284393583529058,,,,,0.0001180653462699,,UP_in_reference
NSMCE1,0.2726010690773362,,,0.22497626305531956,,,,,0.0001082624006787,,UP_in_reference
NT5C,0.5187733730311955,,,0.3716455949227925,,,,,0.000195773767037,,UP_in_reference
NTN4,0.3915861392721285,,,0.26565389036030185,,,,,0.0001609258860621,,UP_in_reference
NUB1,0.1978380248883275,,,0.15951226825246115,,,,,9.172873297096684e-05,,UP_in_reference
NUBP2,0.24395460724989973,,,0.20278846634351108,,,,,0.00010176810305,,UP_in_reference
NUCB1,0.44024076446973004,,,0.3292689021038429,,,,,0.0001516484564194,,UP_in_reference
NUCB2,0.18737384662579257,,,0.158262955374544,,,,,0.0001146752870798,,UP_in_reference
NUCKS1,0.7510557410464784,,,0.4769876567887662,,,,,0.0002876021634404,,UP_in_reference
NUDC,0.46480282777915044,,,0.34491029933536554,,,,,0.0001577636146092,,UP_in_reference
NUDCD2,0.26892337997991383,,,0.22727499875068713,,,,,0.0001247571809794,,UP_in_reference
NUDT14,0.2940345255863995,,,0.23567038129029033,,,,,0.0001359904807542,,UP_in_reference
NUDT16,0.20073685343454806,,,0.17015641397231523,,,,,0.0002137072895792,,UP_in_reference
NUDT16L1,0.2427129748051943,,,0.19999000549697665,,,,,0.0001179299779178,,UP_in_reference
