gene,mean_expression,variance,rank
TPM1,0.8751049913678006,1.1257649027287093,124
RPS10,1.9813651830581644,1.1255821615151658,125
MUC1,0.7882264966850309,1.1226683644949866,126
C12orf75,0.9426677945290343,1.1221037827364646,127
LAPTM4A,1.4076119125489506,1.1216036871339419,128
ANXA2,1.03353542407586,1.10880238038616,129
HNRNPH1,1.3219709762635512,1.107922228219146,130
COX8A,1.8206135588175663,1.1037576246109184,131
DBI,1.473706930234224,1.1013513882748671,132
ACTB,2.787365286907661,1.0938284791943156,133
COX6A1,1.5991081240004401,1.092841249185196,134
HSPE1,1.3800403432212638,1.0912833238121453,135
GPX4,1.821693657560448,1.0899564802184245,136
COX5B,1.9505148175258333,1.08738782982791,137
RPL17,0.799406542606131,1.086347232765854,138
PFN1,2.0204274020545063,1.084812354945857,139
LYZ,0.3109195929121696,1.0794957226260087,140
MGP,0.41492742439445934,1.0791887920977001,141
HSPB1,1.2534879352948805,1.0768448082776696,142
TYROBP,0.3669179484024507,1.0743194118710548,143
TACSTD2,0.6864437245324848,1.0710355215550658,144
BSG,1.2217238235500667,1.0701428960884503,145
SPINT2,1.0782117895332795,1.0692772257091545,146
S100A13,1.0526510225291985,1.0634994990213458,147
MYL12A,1.6165616759179051,1.0622842589913706,148
LGALS3,0.8515564685669655,1.0607431889270016,149
NDUFB2,1.7369657295760286,1.0564739911843835,150
IFITM2,0.9252801118684953,1.0564562925791927,151
EEF1B2,1.6545868746520629,1.0550199265545266,152
TMEM59,1.4179427096345374,1.0547450681508712,153
HSPA1A,0.810051081375919,1.0535785901189303,154
TIMP3,0.5188037424258852,1.053292008899321,155
UQCRH,1.5671787815862013,1.0513812229144106,156
ENO1,1.3974505069205676,1.0510982084728404,157
RPS29,2.354156895013507,1.0506607894142421,158
SLC25A5,1.1872861688530738,1.0489809355298643,159
IFI27,0.4158352989545342,1.0485215638450651,160
ACTG1,2.303129568920209,1.0462105562209416,161
HSP90B1,1.2414787045480906,1.0440902691517215,162
ATP5MF,1.0308175805591993,1.0410360460143344,163
UQCRB,1.8490807199289316,1.040002804682337,164
