gene,importance
CTSC,0.00029534771117094115
SERINC2,0.0002952718365811596
SRP9,0.00029507548821425174
HLA-DPB1,0.0002944270810818761
SNHG9,0.00029380035401172877
PPP1R1A,0.0002932035498604758
FBP1,0.00029302838375562854
FKBP1A,0.00029248437064238064
FAM173A,0.0002922836007857708
ATOX1,0.00029225631649567994
FCGRT,0.0002922098493711851
PSMB1,0.00029171961224395553
ARHGDIB,0.0002908817691839081
C19orf53,0.00029081338971530935
SRSF3,0.0002907649672335055
KCNJ15,0.00029055802216604364
YBX3,0.00029055695558698565
SPARCL1,0.00029054226722510773
NDUFV2,0.00029047382707415083
FGL2,0.00029015428808771627
MDM4,0.00028894895492527305
SUMO1,0.00028881729724073834
CAPS,0.00028871730107928864
ARF5,0.0002886787093606432
SET,0.0002886034936756191
C3,0.00028811489572153434
NUCKS1,0.0002876021634404577
EGFL7,0.0002869579701573645
PDIA6,0.00028639081749648487
EIF4A2,0.0002856437449587472
PTGES3,0.0002850436903834704
LGALS1,0.0002847918144778127
TYMP,0.0002841938803257482
ABRACL,0.0002838353101493909
SIVA1,0.000283796460770897
C4orf3,0.000283306636067836
NDUFB11,0.00028295207884505223
PABPC1,0.0002828845491657334
PAXX,0.0002826617042862029
TBCA,0.0002820706922514759
NFE2L2,0.00028174751739599616
CTSH,0.000281184156247256
MT-ND6,0.00028114743225766687
LIMD2,0.00028046790703649155
LAMTOR4,0.00027991186094644693
SYPL1,0.0002794214777301414
LAMTOR5,0.0002793083006543779
YWHAB,0.00027915413363602406
HAGH,0.0002785435668922844
RNF213,0.00027822975410063156
CLDN3,0.0002778527705802963
ATP5F1C,0.00027746617759910234
NDUFA12,0.0002769661864540547
TMEM50A,0.00027670576789689605
DHRS4L2,0.00027643932769008184
PRODH2,0.00027630792256377336
WSB1,0.000276052500821507
PSME1,0.00027561164384302836
ARGLU1,0.0002754016912258446
EMP3,0.00027523673054460755
RBM39,0.0002750754536031838
ADGRF5,0.00027505111928385906
LY6E,0.00027477774228792923
PRDX6,0.00027455635393645595
CDC42SE1,0.00027455380950625546
SELENOM,0.000274542398477921
RBX1,0.00027391343420109904
EIF3E,0.00027358597132751974
NDUFA2,0.0002733907452348624
AP2S1,0.0002732029623127725
PSMB3,0.00027307176264807273
REEP5,0.0002724403823810223
SNU13,0.00027232069747955485
RAC1,0.00027192994276277715
NDUFS6,0.00027154872130252827
RABAC1,0.000271327359605885
TKT,0.0002711450040852548
TMED2,0.00027078079686288
TMEM238,0.00027065588809759944
CAPZA2,0.0002706320307136052
DNAJA1,0.00027052293609817986
CIB1,0.0002699702594424603
LCP1,0.00026960613565536073
MGST1,0.00026911662532160696
STMP1,0.000268809081835532
TRIR,0.00026878539174465224
ZFAS1,0.00026862346295083647
IL6ST,0.0002681552189573471
CDK2AP2,0.00026800233494099094
SEM1,0.0002677240188315791
TMEM52B,0.00026726253952720654
DYNLRB1,0.000267152877897144
PHPT1,0.00026695024074868635
CARHSP1,0.00026686702976642956
NDUFB3,0.0002666270374953741
FOLR1,0.0002665872226034734
RASSF7,0.0002663719984800285
RCAN1,0.0002659556365857576
TM9SF2,0.0002655328690038362
LNPEP,0.00026544116956286293
IDH2,0.0002648899713780913
PRELID1,0.00026474294180891476
C9orf16,0.00026470354509216783
SMIM37,0.00026430189196406537
C11orf96,0.0002642075629795336
LEPROT,0.00026420531918996807
PSMA7,0.00026385485226607265
EIF5,0.0002638505079855704
