gene,mean_expr_CKD,mean_expr_AKI,diff_mean_expr,pct_expr_CKD,pct_expr_AKI,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
CNPY2,0.6054192922737286,0.49280854940359053,0.11261074287013806,0.46135196805476325,0.36140122932387186,0.09995073873089139,1.8974041289551986e-56,9.615223626462156e-56,0.0001701200591184,0.00010534612916045008,UP_in_CKD
MT1H,0.4092488983870714,0.566323931531433,-0.1570750331443616,0.1826392850351778,0.20708610264354604,-0.024446817608368254,3.270996347198534e-42,1.2390137678782325e-41,0.0006685193926031,0.00010501233729560962,UP_in_AKI
FAM173A,0.33238188136815827,0.4402246648102619,-0.10784278344210363,0.2759555048488306,0.3288691219829094,-0.05291361713407883,6.505289527285546e-64,3.774829512931651e-63,0.0002922836007857,0.00010411380986743495,UP_in_AKI
PFKFB3,0.24853153811094017,0.14985969356272708,0.0986718445482131,0.17883628066172277,0.1103393133776423,0.06849696728408047,1.2960852832677514e-79,9.843685695704442e-79,0.0001967135455346,0.00010371260775866783,UP_in_CKD
RPS15,3.0444022012832175,3.242461794072998,-0.19805959278978058,0.9694808899030234,0.9754634950777072,-0.005982605174683853,5.238206862331883e-134,7.936677064139216e-133,0.0006606808272365,0.0001034146183133879,UP_in_AKI
ACADM,0.5199434133467058,0.4157988115292829,0.10414460181742291,0.39750903213538696,0.3056818749687672,0.09182715716661977,7.673248833593574e-50,3.3703874818126973e-49,0.0002199673794735,0.00010196708225267846,UP_in_CKD
TM9SF2,0.5609467830597245,0.46312401714043405,0.0978227659192904,0.4312606959498003,0.3380640647643796,0.09319663118542071,2.145779441873574e-43,8.403835934230707e-43,0.0002655328690038,0.00010185631436564617,UP_in_CKD
RPLP0,1.7151748887599196,1.907349319390021,-0.19217443063010142,0.8278189769918235,0.8362900404777373,-0.008471063485913755,4.612583245120471e-89,3.976364866483165e-88,0.000713196244298,0.00010147441882665836,UP_in_AKI
HIGD1A,0.7674841720796468,0.6514068350268656,0.11607733705278123,0.5070355580908918,0.41187346959172455,0.0951620884991673,2.5381936999098107e-44,1.0139255791916687e-43,0.0002132741716986,0.00010128787406612358,UP_in_CKD
ATP5F1A,0.5816437618817464,0.7160541206642448,-0.1344103587824984,0.3922323635672181,0.4424066763280196,-0.05017431276080153,1.0067856301303868e-59,5.345764407771966e-59,0.000256650040394,0.00010085916327181026,UP_in_AKI
ANK3,0.3462066596535072,0.23656345926776007,0.10964320038574715,0.28546301578246813,0.18834640947478887,0.09711660630767927,3.271899912946421e-82,2.562845884814429e-81,0.000116669654807,0.00010012007229895627,UP_in_CKD
PTBP3,0.48020138992234407,0.38566685107654175,0.09453453884580232,0.363614755656969,0.27979611213832395,0.08381864351864504,9.275453894034576e-43,3.562914427926213e-42,0.0003011336919071,9.889995754227467e-05,UP_in_CKD
RPS8,2.886734738168298,3.107653956222017,-0.22091921805371895,0.9581669518919946,0.9630703113287692,-0.004903359436774557,3.1249153704391877e-136,4.83234335634926e-135,0.0006795208145734,9.886833746286817e-05,UP_in_AKI
MCCD1,0.2120002340175214,0.12183878435420031,0.0901614496633211,0.15511504088229702,0.08965069211933437,0.06546434876296266,5.1831997230075427e-76,3.574620498625892e-75,0.0002218372228622,9.747786707913067e-05,UP_in_CKD
ZDHHC2,0.33345921560454506,0.24045369186718113,0.09300552373736393,0.286936679977182,0.20178901604117735,0.08514766393600462,3.829133491333362e-64,2.2262404019380013e-63,0.0001945872926432,9.654590578517749e-05,UP_in_CKD
ECHDC2,0.4609011033897994,0.35353925825056337,0.10736184513923602,0.3744533181213158,0.27299985008245464,0.10145346803886118,4.149437570251873e-62,2.3181215476267448e-61,0.0001459158949779,9.637000326260395e-05,UP_in_CKD
SCCPDH,0.3476572689288556,0.2354621030088495,0.11219516592000611,0.2801863472142993,0.1945929738643746,0.0855933733499247,2.0667314892321014e-86,1.7080425530843814e-85,0.0001181776605723,9.620088296857904e-05,UP_in_CKD
MARCH6,0.39820824248315595,0.2902552244501916,0.10795301803296437,0.33019585472523294,0.23007345959722153,0.10012239512801141,2.9949266427918656e-71,1.9660349952681833e-70,0.000127186641745,9.582530882575249e-05,UP_in_CKD
AIF1,0.22292348215332147,0.39334039455913183,-0.17041691240581036,0.08837231412816125,0.1371745539953026,-0.04880223986714134,4.970232654773463e-79,3.699925053181238e-78,0.0001480660641084,9.535146601225192e-05,UP_in_AKI
ARHGAP5,0.4374762502109314,0.3299686389037563,0.10750761130717512,0.3515877543259175,0.25605916745789814,0.09552858686801935,2.594264364182674e-64,1.5171136632647216e-63,0.000146673391106,9.462693912362236e-05,UP_in_CKD
NEAT1,1.354817445819747,1.2363789599794426,0.11843848584030447,0.6688058566267351,0.579931037929139,0.08887481869759606,3.001765267788536e-23,7.11318783836146e-23,0.0004020347006262,9.372778818857386e-05,UP_in_CKD
GATM,0.6292896659587457,0.5029954488636109,0.12629421709513478,0.30100779615896556,0.24871320773574535,0.05229458842322021,5.3621152377422526e-33,1.6134749963116107e-32,0.0004431382164923,9.304660196785366e-05,UP_in_CKD
CLCN3,0.3739739980268976,0.27001102595608184,0.10396297207081578,0.311988971287317,0.21583129278896607,0.09615767849835094,3.01125896269475e-70,1.9344275991615093e-69,0.0001346992204573,9.252721220900574e-05,UP_in_CKD
TMEM219,0.765706335501452,0.6535117245702309,0.11219461093122107,0.5414527476706599,0.44475538453850383,0.09669736313215604,1.1563604590977707e-46,4.798176178828924e-46,0.0001876785283726,9.227430986033795e-05,UP_in_CKD
CMBL,0.3480157211315772,0.26287180111051556,0.08514392002106164,0.25979273626164673,0.18204987257008645,0.07774286369156028,2.624827408648006e-39,9.318913876856826e-39,0.0003650851422584,9.190558582897159e-05,UP_in_CKD
SERPINA5,0.2683357688689843,0.16612807181315314,0.10220769705583116,0.17498573873359954,0.10993953325670881,0.06504620547689073,7.116903882783799e-69,4.457351074812399e-68,0.0002050601190083,9.1818528311255e-05,UP_in_CKD
FOXP1,0.31266351279073723,0.21944603670735505,0.09321747608338218,0.24938201178931355,0.1698066063664984,0.07957540542281513,1.5589410217173382e-60,8.411552275453264e-60,0.0002082729748385,9.126699700670201e-05,UP_in_CKD
LIMCH1,0.2958450574972893,0.18767174057949018,0.1081733169177991,0.2393991253089941,0.150467243016341,0.08893188229265309,6.880642117077134e-89,5.897693243208971e-88,0.0001084871308012,9.103708237091456e-05,UP_in_CKD
NPTN,0.47325516687530117,0.36850203589924835,0.10475313097605282,0.3828674652975851,0.2858927589825596,0.09697470631502547,4.122947367651076e-59,2.1699722987637242e-58,0.0001550757202971,9.083864278301929e-05,UP_in_CKD
SYNE1,0.39408684723122334,0.2936176117466831,0.10046923548454023,0.29691956645750145,0.21268302433661487,0.08423654212088658,8.436492265719621e-54,4.0046640501833643e-53,0.0002046841295992,9.076696571512255e-05,UP_in_CKD
HADHB,0.6292606176353979,0.5206366493221293,0.10862396831326859,0.45935539075869936,0.3714457048623257,0.08790968589637366,2.0434898214091754e-48,8.708053216232281e-48,0.0002013237970086,9.047115959836126e-05,UP_in_CKD
RIN2,0.27649674096103005,0.1811577817893325,0.09533895917169755,0.23811561133295303,0.1532657038628754,0.08484990747007762,8.542809760743354e-79,6.328007230180261e-78,0.0001443000165712,9.011525858433701e-05,UP_in_CKD
CDKN1C,0.3450255649337853,0.2528931130266587,0.0921324519071266,0.26388096596311084,0.17470391284793363,0.08917705311517721,4.754436748658728e-48,2.003273910951711e-47,0.0002347981735961,9.008679908633125e-05,UP_in_CKD
MRPL57,0.5414734860724002,0.6725415657048618,-0.1310680796324616,0.3835329910629397,0.4381590125431013,-0.0546260214801616,4.226340807177525e-63,2.415051889815729e-62,0.0002039994083356,8.999667890679142e-05,UP_in_AKI
PRKAR1A,0.6335052186825332,0.529008670697928,0.10449654798460517,0.4697661152310325,0.37579331367747737,0.09397280155355514,1.0947444195609945e-44,4.4024574513176723e-44,0.0002100427930895,8.942607389003914e-05,UP_in_CKD
TMED10,0.6849754674857556,0.5773084038793158,0.10766706360643974,0.4917284654877353,0.39818100044975263,0.09354746503798267,6.783051723835839e-45,2.738782661037351e-44,0.0002037058655597,8.937800324269208e-05,UP_in_CKD
GCSH,0.5478122215147874,0.439464013376589,0.10834820813819834,0.4097261836851112,0.31567637799210435,0.09404980569300686,2.0165596752812378e-51,9.152313200973848e-51,0.0001739457350284,8.869465222958013e-05,UP_in_CKD
ST6GAL1,0.3046701194369811,0.2075814925298735,0.09708862690710757,0.2280376497432972,0.15096696816750788,0.07707068157578933,1.1894850398084714e-62,6.720254462194754e-62,0.000193216076432,8.844185815979602e-05,UP_in_CKD
SMIM14,0.4294271426962936,0.3253934896799336,0.10403365301636003,0.3538220193953223,0.25775823297186545,0.09606378642345687,4.786145426616474e-63,2.7297407376139584e-62,0.000143252158347,8.813749364203735e-05,UP_in_CKD
RHOBTB3,0.3092225368428325,0.215454554010535,0.09376798283229751,0.2519015021867275,0.17155564439558244,0.08034585779114509,1.6320166876502704e-65,9.772555015869881e-65,0.0001817309395377,8.763845428127124e-05,UP_in_CKD
SLC16A4,0.3771677402599486,0.2787874383361738,0.09838030192377478,0.28907586993725043,0.2044375593423617,0.08463831059488872,9.132120415674974e-56,4.53582139851406e-55,0.0001936169490045,8.761225710667903e-05,UP_in_CKD
MPC2,0.963070747103934,0.8476417300081613,0.11542901709577269,0.5862331241680928,0.500874519014542,0.08535860515355076,4.160202195211154e-37,1.4023153467003889e-36,0.000246985758042,8.724922716990816e-05,UP_in_CKD
COPRS,0.43388692905730475,0.3384410500181818,0.09544587903912294,0.3579102490967865,0.27230023487082106,0.08561001422596543,8.137557735398056e-54,3.8811881090928723e-53,0.0002029921175941,8.693279922743349e-05,UP_in_CKD
SUCNR1,0.24323921182978886,0.12685610706728892,0.11638310476249994,0.14717626925270963,0.08585278097046624,0.06132348828224339,1.268332939787479e-97,1.2353892270657262e-96,0.000126371764247,8.65012854491322e-05,UP_in_CKD
CCL5,0.13958150662018273,0.30882399460565996,-0.16924248798547722,0.05167332192432021,0.10284343611013942,-0.05117011418581921,4.176232759041001e-96,3.9647779357984185e-95,0.0001053409631866,8.611984920728248e-05,UP_in_AKI
