gene,importance,group,scores,logfoldchange,pvals,adj_p_value,pct_nz_group,pct_nz_reference,combined_score
PLAAT4,0.0025461410691865033,AKI,-11.918718,-1.8261843,9.455235890538157e-33,1.991618964725873e-31,0.023487082104842336,0.08817252611479276,0.14275017995060618
IGFBP4,0.0015170632214548613,Ref,18.94672,1.1950028,4.699739851831526e-80,8.046118570749009e-78,0.33456724836946944,0.1891977489219675,0.13976406060343122
FAM24B,0.001704282536677093,AKI,-13.648266,-2.0005214,2.067391895661255e-42,6.106167417405916e-41,0.03553045824796362,0.10824066793964582,0.13710856058956702
C19orf10,0.002946051764964509,CKD,12.768908,1.3307343,2.4456402669653926e-37,1.245964860576642e-35,0.12716295873740255,0.06023205108238592,0.13683999774756947
ALDH6A1,0.0029606081006593493,Ref,17.081318,0.73577887,2.0445001254180727e-65,2.3702517792592907e-63,0.402432575356954,0.2527346700124248,0.13641979664466394
SLC7A8,0.0019308777237180925,Ref,16.764765,1.1515449,4.4175829786465535e-63,4.645877356150181e-61,0.2506610259122158,0.11014203230443151,0.1341498193884958
SGK1,0.007426664841376918,AKI,-11.206949,-0.65663606,3.7696125673229495e-29,6.886090649501173e-28,0.16785767827694767,0.224268973005354,0.13245877498665887
FAM24B,0.001704282536677093,Ref,13.6993685,1.8503348,1.0241131253533867e-42,5.668620150804733e-41,0.17345319936541512,0.06378054425414768,0.12691713646607508
SLC9A3R2,0.0018389911635199737,AKI,-15.225929,-1.3246415,2.3795421356318237e-52,9.41806146074601e-51,0.08025585927739744,0.16080721854056684,0.12186362739279587
CD74,0.006589575443454287,Ref,-13.326866,-0.47681305,1.6154147622317034e-40,8.035324071526516e-39,0.5594923320994183,0.6386337612980242,0.11969430991988916
GNG11,0.002051505583973137,Ref,17.52211,0.882491,9.715541239933359e-69,1.2122607749674475e-66,0.4204124801692226,0.28016663824396426,0.11933737789817407
KNG1,0.002472683414099007,AKI,-15.2178,-0.95706165,2.694389378926169e-52,1.064989047533408e-50,0.12857928139523261,0.20809464974353215,0.11826081064617287
SDPR,0.0011043348128016248,Ref,10.887126,4.1494403,1.3276436948986005e-27,3.737583545284807e-26,0.09730301427815971,0.00862425999464029,0.1165178312858987
