gene,importance
LTBP4,0.0005450152983781385
CLEC3B,0.0005418843346491692
FN1,0.000540647995732911
MCAM,0.0005405146873865838
C2orf40,0.0005382279227376152
CD3E,0.0005373275976442301
SLC5A12,0.0005357614200815686
MAFB,0.0005351442662765085
ACTA2,0.0005337276997842926
CLDN1,0.0005275266249244008
ENPP2,0.0005268482229089936
FXYD6,0.0005261200229519627
LAT,0.0005258779192932998
CST7,0.0005247064479326299
KLRB1,0.0005233757702978903
FABP5,0.0005229319388635788
ADAM15,0.0005226265119621197
CD14,0.0005224877087070661
AKR1B10,0.0005224665082337906
TMEM27,0.0005209479048205185
LYAR,0.0005184996647727715
MFSD4,0.0005168191617047166
SLC22A12,0.000515662221930207
ABI3,0.0005128705597409592
LPL,0.0005111403721833724
FERMT3,0.0005107245796469385
DLC1,0.0005099574195789444
NCF1,0.0005077518687782229
AC020656.1,0.0005063494230116926
FAM26F,0.0005017248341576945
DEPP1,0.0004999365701324791
CTXN3,0.0004968440121207681
ADGRE5,0.0004922408837794744
PRF1,0.0004920599217835283
AC020916.1,0.0004900914600244784
EDN1,0.0004899974754601437
SYTL1,0.0004895588487745644
AC129507.4,0.000487487405505693
SLC6A19,0.0004845537606507275
LIMS2,0.00048134119319614375
AOX1,0.00048100272036180153
C1R,0.00047921643673294405
SLC13A3,0.0004775711568972105
DNASE1L3,0.0004765605815127059
CLEC2D,0.00047609254276637314
CCL28,0.0004719030681300199
TM4SF18,0.00047167376061440244
EMB,0.00047142519011924823
MEG3,0.00047108220589584996
LEPR,0.00046966094540096064
APOBEC3G,0.00046788883027858966
MMP2,0.00046779211004943237
FCGR3A,0.0004668485079924989
CD7,0.00046592010654142524
PLAUR,0.0004658375020256659
CD93,0.00046445650706122057
PLAC9,0.0004639111540752708
FXYD1,0.0004631652588603874
PECAM1,0.00046300041689994087
GPR183,0.0004629933067525903
GBP1,0.0004629413864476232
LHFP,0.00046161241165568764
BIN2,0.00046149310925497214
C5AR1,0.0004596428893313122
TRGC2,0.0004587872135874932
